Class,Buying,Maint,Doors,Persons,Lug_Boot,Safety
unacc,vhigh,vhigh,2,2,small,low
acc,high,high,4,4,med,med
good,med,med,4,4,big,high
vgood,low,low,5more,more,big,high
unacc,vhigh,med,3,2,small,low
acc,med,high,4,4,med,med
good,med,med,4,more,big,high
vgood,low,low,4,4,big,high
unacc,high,high,2,2,small,low
acc,med,med,3,4,med,med
unacc,vhigh,low,2,2,small,low
good,med,med,4,more,big,high
vgood,low,low,5more,more,big,high
acc,high,med,4,4,med,med
unacc,high,high,3,2,small,low
unacc,high,vhigh,2,2,small,low
acc,med,low,3,4,med,med
good,low,med,4,4,big,high
vgood,low,med,5more,more,big,high
unacc,vhigh,high,3,2,small,low
acc,med,high,4,more,med,med
good,med,med,4,4,big,high
vgood,low,low,4,more,big,high
unacc,vhigh,med,2,2,small,low
acc,high,med,3,4,med,med
good,med,med,4,more,big,high
vgood,low,low,5more,more,big,high
unacc,high,high,2,2,small,low
acc,med,low,3,4,med,med
good,med,med,4,more,big,high
vgood,low,med,5more,more,big,high
unacc,vhigh,high,2,2,small,low
acc,med,high,4,4,med,med
