Call_ID,Date,Time,State,City,Call_Type,Priority,Response_Time_Minutes,Officer_ID
1001,2025-01-01,08:15,Uttar Pradesh,Lucknow,Medical Emergency,High,7,501
1002,2025-01-01,09:22,Maharashtra,Mumbai,Fire,High,5,502
1003,2025-01-01,10:05,Bihar,Patna,Crime,Medium,12,503
1004,2025-01-01,11:30,West Bengal,Kolkata,Traffic Accident,Medium,10,504
1005,2025-01-02,07:45,Tamil Nadu,Chennai,Medical Emergency,High,6,505
1006,2025-01-02,14:20,Karnataka,Bangalore,Fire,High,8,506
1007,2025-01-03,16:10,Rajasthan,Jaipur,Crime,Low,15,507
1008,2025-01-03,18:05,Delhi,New Delhi,Traffic Accident,Medium,9,508
1009,2025-01-04,20:30,Gujarat,Ahmedabad,Medical Emergency,High,5,509
1010,2025-01-05,22:00,Madhya Pradesh,Bhopal,Crime,Medium,13,510
1011,2025-01-06,06:45,Kerala,Thiruvananthapuram,Medical Emergency,High,4,511
1012,2025-01-06,08:30,Odisha,Bhubaneswar,Fire,Medium,7,512
1013,2025-01-07,12:15,Assam,Guwahati,Crime,Low,18,513
1014,2025-01-07,13:50,Haryana,Chandigarh,Traffic Accident,Medium,11,514
1015,2025-01-08,15:30,Telangana,Hyderabad,Medical Emergency,High,6,515
